No model found.
Episode 361 | Total reward: -1.9400000000000002 | Epsilon: 0.09828
Episode 362 | Total reward: -1.9900000000000002 | Epsilon: 0.09828
Episode 363 | Total reward: -1.6700000000000004 | Epsilon: 0.09827
Episode 364 | Total reward: -1.7200000000000002 | Epsilon: 0.09826
Episode 365 | Total reward: -1.6700000000000002 | Epsilon: 0.09826
Episode 366 | Total reward: -1.9600000000000002 | Epsilon: 0.09825
Episode 367 | Total reward: -1.9500000000000002 | Epsilon: 0.09825
Episode 368 | Total reward: -1.8900000000000003 | Epsilon: 0.09824
Episode 369 | Total reward: -1.6800000000000002 | Epsilon: 0.09824
Episode 370 | Total reward: -2.0200000000000005 | Epsilon: 0.09824
Episode 371 | Total reward: -1.7000000000000004 | Epsilon: 0.09823
Episode 372 | Total reward: -1.6900000000000002 | Epsilon: 0.09822
Episode 373 | Total reward: 3.2300000000000004 | Epsilon: 0.09822
Episode 374 | Total reward: -1.7100000000000002 | Epsilon: 0.09821
Episode 375 | Total reward: -1.6900000000000002 | Epsilon: 0.09821
Episode 376 | Total reward: -1.7600000000000002 | Epsilon: 0.09820
Episode 377 | Total reward: -1.7000000000000002 | Epsilon: 0.09820
Episode 378 | Total reward: -1.6900000000000004 | Epsilon: 0.09819
Episode 379 | Total reward: -1.6700000000000004 | Epsilon: 0.09819
Episode 380 | Total reward: -2.0100000000000002 | Epsilon: 0.09818
Episode 381 | Total reward: -1.7000000000000002 | Epsilon: 0.09818
Episode 382 | Total reward: -1.7500000000000004 | Epsilon: 0.09817
Episode 383 | Total reward: -5.38 | Epsilon: 0.09817
Episode 384 | Total reward: -1.8800000000000001 | Epsilon: 0.09816
Episode 385 | Total reward: -1.7300000000000002 | Epsilon: 0.09816
Episode 386 | Total reward: -1.6700000000000004 | Epsilon: 0.09815
Episode 387 | Total reward: -1.7000000000000002 | Epsilon: 0.09815
Episode 388 | Total reward: 3.230000000000001 | Epsilon: 0.09814
Episode 389 | Total reward: -1.84 | Epsilon: 0.09814
Episode 390 | Total reward: -1.6600000000000004 | Epsilon: 0.09813
Episode 391 | Total reward: -2.0500000000000003 | Epsilon: 0.09813
Episode 392 | Total reward: -1.7500000000000004 | Epsilon: 0.09812
Episode 393 | Total reward: -1.6600000000000004 | Epsilon: 0.09812
Episode 394 | Total reward: -5.42 | Epsilon: 0.09811
Episode 395 | Total reward: -1.7400000000000002 | Epsilon: 0.09811
Episode 396 | Total reward: 3.220000000000001 | Epsilon: 0.09810
Episode 397 | Total reward: -1.6800000000000004 | Epsilon: 0.09809
Episode 398 | Total reward: -1.7000000000000002 | Epsilon: 0.09809
Episode 399 | Total reward: -1.7000000000000004 | Epsilon: 0.09808
Episode 400 | Total reward: -1.7600000000000002 | Epsilon: 0.09808
Episode 401 | Total reward: -1.6700000000000002 | Epsilon: 0.09807
Episode 402 | Total reward: -1.7700000000000002 | Epsilon: 0.09807
Episode 403 | Total reward: -2.0200000000000005 | Epsilon: 0.09806
Episode 404 | Total reward: -1.6900000000000004 | Epsilon: 0.09806
Episode 405 | Total reward: -1.6600000000000001 | Epsilon: 0.09805
Episode 406 | Total reward: -2.1200000000000006 | Epsilon: 0.09805
Episode 407 | Total reward: -2.14 | Epsilon: 0.09804
Episode 408 | Total reward: -1.7400000000000004 | Epsilon: 0.09804
Episode 409 | Total reward: -1.7400000000000002 | Epsilon: 0.09803
Episode 410 | Total reward: -1.6900000000000002 | Epsilon: 0.09803
Episode 411 | Total reward: -5.41 | Epsilon: 0.09802
Episode 412 | Total reward: -1.9200000000000002 | Epsilon: 0.09802
